,Niche Name,Niche City,Maps_ID,Maps_Name,Maps Address,Maps_Rating,Name,Link,Graduation Rate,Reading Proficiency,Math Proficiency,AP Pass Rate,AP Enrollment Rate,APs Offered,SAT,SAT Math,SAT English,ACT,ACT Math,ACT Reading,ACT English,ACT Science,Rank,District,City,Rating,ID,County,Type,Sector,Charter,Status,Street Address,Match Score,Matched Name,Matched City
262,Eagle Rock Junior/Senior High School,Los angeles,ChIJqRBxcOLDwoARMsJnt6Pd2AI,Eagle Rock Junior/Senior High School,"1750 Yosemite Dr, Los Angeles, CA 90041, USA",3.7,Eagle Rock High,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=19647331932540,0.91,0.66,0.41,0.52,0.42,18.0,1200.0,590.0,610.0,28.0,26.0,29.0,28.0,27.0,290,Los Angeles Unified,Los Angeles,3.8,19647331932540,Los Angeles,High Schools (Public),Public,No,Active,1750 Yosemite Dr.,58.82352941176471,Eagle Rock High,Los Angeles
263,Canyon High School,Anaheim,ChIJWZHgk_7Q3IARBnVob9NDYpw,Canyon High School,"220 S Imperial Hwy, Anaheim, CA 92807, USA",3.9,Canyon High,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=30666213030046,0.97,0.61,0.42,0.71,0.39,22.0,1300.0,650.0,650.0,28.0,27.0,29.0,29.0,27.0,291,Orange Unified,Anaheim,3.63,30666213030046,Orange,High Schools (Public),Public,No,Active,220 South Imperial Hwy.,75.86206896551724,Canyon High,Anaheim
264,Archie Williams High School,San anselmo,ChIJeeYkEgWXhYARxYD45TTB8TY,Archie Williams High School,"1327 Sir Francis Drake Blvd, San Anselmo, CA 94960, USA",3.4,Archie Williams High,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=21654822131340,0.97,0.69,0.54,0.79,0.35,16.0,1300.0,640.0,650.0,29.0,28.0,31.0,30.0,28.0,292,Tamalpais Union High,San Anselmo,3.85,21654822131340,Marin,High Schools (Public),Public,No,Active,1327 Sir Francis Drake Blvd.,85.1063829787234,Archie Williams High,San Anselmo
265,Henry High School,San diego,ChIJPRf1xUFW2YAR-AbMt-7hyaA,Patrick Henry High School,"6702 Wandermere Dr, San Diego, CA 92120, USA",3.5,Henry High,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=37683383732781,0.98,0.66,0.46,0.74,0.39,18.0,1230.0,620.0,610.0,28.0,28.0,29.0,28.0,27.0,293,San Diego Unified,San Diego,3.64,37683383732781,San Diego,High Schools (Public),Public,No,Active,6702 Wandermere Dr.,74.07407407407408,Henry High,San Diego
266,Anderson W. Clark Magnet High School,La crescenta,ChIJecIknwfrwoARIeud_t9YLR0,Anderson W. Clark Magnet High School,"4747 New York Ave, Glendale, CA 91214, USA",3.0,Anderson W. Clark Magnet High,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=19645681996131,0.99,0.92,0.71,0.57,0.28,14.0,1300.0,660.0,650.0,23.0,24.0,23.0,23.0,23.0,294,Glendale Unified,La Crescenta,3.76,19645681996131,Los Angeles,High Schools (Public),Public,No,Active,4747 New York Ave.,89.23076923076923,Anderson W. Clark Magnet High,La Crescenta
267,Santa Ynez Valley Union High School,Santa ynez,ChIJj1WoY3BU6YARP8d8M3wDZqE,Santa Ynez High School,"2975 CA-246, Santa Ynez, CA 93460, USA",4.0,Santa Ynez Valley Charter,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=42691796118434,0.95,0.72,0.42,0.72,0.27,12.0,1250.0,620.0,630.0,27.0,25.0,29.0,26.0,26.0,295,College Elementary,Santa Ynez,3.58,42691796118434,Santa Barbara,Elementary Schools (Public),Public,Yes,Active,1224 Tyndall St.,63.33333333333333,Santa Ynez Valley Charter,Santa Ynez
268,Oak Ridge High School,El dorado hills,ChIJzd4MKy77moARsVGjhtJRy1A,Oak Ridge High School,"1120 Harvard Wy, El Dorado Hills, CA 95762, USA",3.8,Oak Ridge High,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=09618530930081,0.97,0.67,0.56,0.87,0.34,19.0,1290.0,650.0,640.0,29.0,28.0,29.0,29.0,28.0,296,El Dorado Union High,El Dorado Hills,3.83,9618530930081,El Dorado,High Schools (Public),Public,No,Active,1120 Harvard Way,80.0,Oak Ridge High,El Dorado Hills
269,Evergreen Valley High School,San jose,ChIJA9B9xREtjoARj_VGgp0zkuU,Evergreen Valley High School,"3300 Quimby Rd, San Jose, CA 95148, USA",4.3,Evergreen Valley High,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=43694274330692,0.94,0.85,0.66,0.8,0.42,24.0,1360.0,690.0,670.0,32.0,31.0,32.0,32.0,31.0,297,East Side Union High,San Jose,3.52,43694274330692,Santa Clara,High Schools (Public),Public,No,Active,3300 Quimby Rd.,85.71428571428572,Evergreen Valley High,San Jose
270,Murrieta Valley High School,Murrieta,ChIJ11n7wK-D3IARBXXRB1jSK4M,Murrieta Valley High School,"42200 Nighthawk Wy, Murrieta, CA 92562, USA",3.7,Murrieta Valley High,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=33752003330529,0.97,0.73,0.38,0.7,0.25,15.0,1190.0,590.0,600.0,27.0,25.0,28.0,27.0,26.0,298,Murrieta Valley Unified,Murrieta,3.83,33752003330529,Riverside,High Schools (Public),Public,No,Active,42200 Nighthawk Way,85.1063829787234,Murrieta Valley High,Murrieta
271,Mission Hills High School,San marcos,ChIJxTaKQc-K24AR9dOK0pabj8M,School (Mhhs),"1 Mission Hills Ct, San Marcos, CA 92069, USA",4.0,Mission Hills High,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=37737910105726,0.93,0.65,0.29,0.73,0.43,17.0,1200.0,590.0,610.0,25.0,24.0,26.0,25.0,25.0,299,San Marcos Unified,San Marcos,3.98,37737910105726,San Diego,High Schools (Public),Public,No,Active,1 Mission Hills Ct.,83.72093023255813,Mission Hills High,San Marcos
