,Niche Name,Niche City,Maps_ID,Maps_Name,Maps Address,Maps_Rating,Name,Link,Graduation Rate,Reading Proficiency,Math Proficiency,AP Pass Rate,AP Enrollment Rate,APs Offered,SAT,SAT Math,SAT English,ACT,ACT Math,ACT Reading,ACT English,ACT Science,Rank,District,City,Rating,ID,County,Type,Sector,Charter,Status,Street Address,Match Score,Matched Name,Matched City
981,Envision Academy For Arts & Technology,Oakland,ChIJFUifeLOAj4ARl0c2r744TV8,Envision Academy of Arts & Technology,"1515 Webster St, Oakland, CA 94612, USA",4.1,Envision Academy for Arts & Technology,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=01100170112607,0.92,0.37,0.08,,,,1050.0,520.0,530.0,25.0,23.0,26.0,27.0,23.0,1180,Alameda County Office of Education,Oakland,3.59,1100170112607,Alameda,K-12 Schools (Public),Public,Yes,Active,1515 Webster St.,97.36842105263158,Envision Academy for Arts & Technology,Oakland
982,Willits High School,Willits,ChIJh2nTyfCZgYAR_9qgnr29CLQ,Willits High School,"299 North Main St, Willits, CA 95490, USA",4.0,Willits High,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=23656232335487,0.92,0.32,0.12,,,,1100.0,540.0,560.0,23.0,23.0,24.0,22.0,22.0,1181,Willits Unified,Willits,3.12,23656232335487,Mendocino,High Schools (Public),Public,No,Active,299 North Main St.,77.41935483870968,Willits High,Willits
983,KIPP San Francisco College Preparatory,San francisco,ChIJ3eAjN8t_j4AR9Upp5OPAo6s,KIPP San Francisco College Preparatory,"1195 Hudson Ave, San Francisco, CA 94124, USA",4.3,KIPP San Francisco College Preparatory,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=38684780127530,0.77,0.42,0.12,,,,1060.0,530.0,530.0,21.0,21.0,21.0,21.0,21.0,1182,San Francisco Unified,San Francisco,3.63,38684780127530,San Francisco,High Schools (Public),Public,Yes,Active,1195 Hudson Ave.,100.0,KIPP San Francisco College Preparatory,San Francisco
984,Santa Cruz County Community,Santa cruz,ChIJR1IzbJ1qjoAR5me-fviHUR0,Community Television of Santa Cruz County Inc,"325 Soquel Ave suite 144, Santa Cruz, CA 95062, USA",4.9,Santa Cruz County Community,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=44104474430278,0.68,0.32,0.17,,,,,,,,,,,,1183,Santa Cruz County Office of Education,Santa Cruz,4.25,44104474430278,Santa Cruz,County Community,Public,No,Active,400 Encinal St.,100.0,Santa Cruz County Community,Santa Cruz
985,Dinuba High School,Dinuba,ChIJE1HnM3AelYARkAZX4jvbSfk,Dinuba High School,"340 E Kern St, Dinuba, CA 93618, USA",3.7,Dinuba High,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=54755315431184,0.93,0.66,0.23,0.32,0.1,11.0,1040.0,520.0,520.0,21.0,20.0,21.0,20.0,22.0,1184,Dinuba Unified,Dinuba,3.71,54755315431184,Tulare,High Schools (Public),Public,No,Active,340 East Kern St.,75.86206896551724,Dinuba High,Dinuba
986,Discovery High School,Sacramento,ChIJW4zkkVLWmoAR1VvXSVgZEiw,Discovery High School,"3401 Fong Ranch Rd, Sacramento, CA 95834, USA",5.0,Discovery High,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=34752833430626,0.87,0.17,0.05,,,,,,,,,,,,1186,Natomas Unified,Sacramento,4.0,34752833430626,Sacramento,Continuation High Schools,Public,No,Active,3401 Fong Ranch Rd.,80.0,Discovery High,Sacramento
987,Ronald E. McNair High School,Stockton,ChIJM8bXensLkIARLvZMjqMPOZ0,Ronald E. McNair High School,"9550 Ronald E. McNair Way, Stockton, CA 95210, USA",3.8,Ronald E. McNair High,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=39685850108225,0.85,0.41,0.16,0.0,0.09,7.0,1080.0,550.0,540.0,23.0,23.0,23.0,22.0,22.0,1187,Lodi Unified,Stockton,3.77,39685850108225,San Joaquin,High Schools (Public),Public,No,Active,9550 Ronald E. McNair Way,85.71428571428572,Ronald E. McNair High,Stockton
988,Theodore Roosevelt Senior High School,Los angeles,ChIJAfKWYQHGwoARDuR8Osgr0fk,Theodore Roosevelt High School,"456 S Mathews St, Los Angeles, CA 90033, USA",4.6,Theodore Roosevelt Senior High,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=19647331937424,0.84,0.45,0.12,0.17,0.28,14.0,960.0,470.0,490.0,23.0,22.0,22.0,22.0,24.0,1188,Los Angeles Unified,Los Angeles,3.45,19647331937424,Los Angeles,High Schools (Public),Public,No,Active,2530 East 4th St.,89.55223880597015,Theodore Roosevelt Senior High,Los Angeles
989,Los Molinos High School,Los molinos,ChIJy9EyQI6TgoARMmuAeqrkVkI,Los Molinos High School,"7900 Sherwood Blvd, Los Molinos, CA 96055, USA",4.5,Los Molinos High,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=52715715235106,0.9,0.45,0.25,0.0,0.11,2.0,1030.0,500.0,540.0,22.0,21.0,23.0,21.0,22.0,1189,Los Molinos Unified,Los Molinos,3.74,52715715235106,Tehama,High Schools (Public),Public,No,Active,7900 Sherwood Blvd.,82.05128205128204,Los Molinos High,Los Molinos
990,Mt. Shasta High School,Mount shasta,ChIJdTi0zDPnzVQR4CSMccyQcwM,Mount Shasta High School,"710 Everitt Memorial Hwy, Mt Shasta, CA 96067, USA",3.5,Mount Shasta High,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=47704664735403,0.92,0.45,0.15,0.63,0.22,10.0,1190.0,570.0,620.0,25.0,22.0,27.0,24.0,24.0,1190,Siskiyou Union High,Mount Shasta,3.23,47704664735403,Siskiyou,High Schools (Public),Public,No,Active,710 Everitt Memorial Hwy.,71.7948717948718,Mount Shasta High,Mount Shasta
991,Teach Tech Charter High School,Los angeles,ChIJdexcmRm2woARbgm5IcM7nqw,TEACH Tech Charter High School,"10616 S Western Ave, Los Angeles, CA 90047, USA",3.3,TEACH Tech Charter High,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=19647330129627,0.82,0.47,0.17,,,,950.0,470.0,480.0,18.0,15.0,20.0,18.0,18.0,1191,Los Angeles Unified,Los Angeles,4.08,19647330129627,Los Angeles,High Schools (Public),Public,Yes,Active,10616 South Western Ave.,71.69811320754718,TEACH Tech Charter High,Los Angeles
992,Pinole Valley High School,Pinole,ChIJDRuJCj13hYARLBcfsFuiBWE,Pinole Valley High School,"2900 Pinole Valley Rd, Pinole, CA 94564, USA",3.4,Pinole Valley High,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=07617960735316,0.85,0.5,0.16,0.3,0.23,11.0,1130.0,560.0,570.0,24.0,23.0,25.0,24.0,24.0,1192,West Contra Costa Unified,Pinole,3.37,7617960735316,Contra Costa,High Schools (Public),Public,No,Active,2900 Pinole Valley Rd.,83.72093023255813,Pinole Valley High,Pinole
993,Henry J. Kaiser High School,Fontana,ChIJLcoovi1Lw4ARRaxaMk_W4BY,Henry J. Kaiser High School,"11155 Almond Ave, Fontana, CA 92337, USA",4.1,Henry J. Kaiser High,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=36677103630902,0.95,0.45,0.19,0.31,0.3,21.0,1040.0,520.0,520.0,19.0,19.0,19.0,18.0,19.0,1195,Fontana Unified,Fontana,3.7,36677103630902,San Bernardino,High Schools (Public),Public,No,Active,11155 Almond Ave.,85.1063829787234,Henry J. Kaiser High,Fontana
994,e3 Civic High School,San diego,ChIJA5gDaVxT2YARFUXOKjZ77ng,e3 Civic High,"395 Eleventh Ave 6th floor, San Diego, CA 92101, USA",3.3,e3 Civic High,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=37683380127647,0.87,0.42,0.17,0.03,0.01,,1030.0,510.0,520.0,21.0,21.0,22.0,19.0,19.0,1196,San Diego Unified,San Diego,3.68,37683380127647,San Diego,High Schools (Public),Public,Yes,Active,"395 11th Ave., 6th Fl.",78.78787878787878,e3 Civic High,San Diego
995,Coliseum College Prep Academy,Oakland,ChIJdR8zEuGFj4AR_AXNFN2oppo,Coliseum College Prep Academy,"1390 66th Ave, Oakland, CA 94621, USA",4.4,Coliseum College Prep Academy,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=01612590112797,0.95,0.25,0.08,0.17,0.48,5.0,940.0,470.0,470.0,19.0,18.0,21.0,19.0,19.0,1197,Oakland Unified,Oakland,3.66,1612590112797,Alameda,K-12 Schools (Public),Public,No,Active,1390 66th Ave.,100.0,Coliseum College Prep Academy,Oakland
996,San Rafael High School,San rafael,ChIJmb1RaCCahYARoAc6Uf4erM8,San Rafael High School,"150 3rd St, San Rafael, CA 94901, USA",4.8,San Rafael High,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=21654662133262,0.79,0.46,0.23,0.0,0.25,14.0,1210.0,600.0,610.0,27.0,26.0,28.0,29.0,26.0,1198,San Rafael City High,San Rafael,3.73,21654662133262,Marin,High Schools (Public),Public,No,Active,150 Third St.,81.08108108108108,San Rafael High,San Rafael
997,Pierce High School,Arbuckle,ChIJzZgDWjeZhIARoCChwIIusTY,Pierce High School,"960 Wildwood Rd, Arbuckle, CA 95912, USA",3.5,Pierce High,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=06616140635250,0.95,0.32,0.17,0.64,0.18,7.0,1090.0,530.0,560.0,,,,,,1199,Pierce Joint Unified,Arbuckle,3.56,6616140635250,Colusa,High Schools (Public),Public,No,Active,960 Wildwood Rd.,75.86206896551724,Pierce High,Arbuckle
998,Hanford High School,Hanford,ChIJyz8_FQvDlIAR5Yse8W_sc3g,Hanford High School,"120 E Grangeville Blvd, Hanford, CA 93230, USA",3.7,Hanford High,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=16639251634401,0.98,0.55,0.12,0.66,0.11,16.0,1160.0,570.0,590.0,27.0,28.0,28.0,28.0,27.0,1200,Hanford Joint Union High,Hanford,3.81,16639251634401,Kings,High Schools (Public),Public,No,Active,120 East Grangeville Blvd.,77.41935483870968,Hanford High,Hanford
999,South High School,Bakersfield,ChIJG2iTK_Bq6oAR6P5dPQSpuGI,South High School,"1101 Planz Rd, Bakersfield, CA 93304, USA",3.8,South High,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=15635291535392,0.9,0.42,0.11,,,,1040.0,530.0,510.0,21.0,22.0,20.0,21.0,21.0,1202,Kern High,Bakersfield,3.83,15635291535392,Kern,High Schools (Public),Public,No,Active,1101 Planz Rd.,74.07407407407408,South High,Bakersfield
1000,Corona High School,Corona,ChIJZW9FvmXI3IARuGqjdBOycB8,Corona High School,"1150 W 10th St, Corona, CA 92882, USA",3.8,Corona High,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=33670333331600,0.98,0.47,0.18,0.24,0.23,18.0,1100.0,550.0,550.0,21.0,20.0,21.0,20.0,21.0,1204,Corona-Norco Unified,Corona,3.76,33670333331600,Riverside,High Schools (Public),Public,No,Active,1150 West Tenth St.,75.86206896551724,Corona High,Corona
1001,Grant Union High School,Sacramento,ChIJAz8d5tHZmoARstkoN9TbNnM,Grant Union High School,"1400 Grand Ave, Sacramento, CA 95838, USA",4.2,Grant Union High,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=34765053433794,0.91,0.28,0.11,0.47,0.23,16.0,1050.0,520.0,530.0,20.0,19.0,21.0,20.0,19.0,1207,Twin Rivers Unified,Sacramento,3.79,34765053433794,Sacramento,High Schools (Public),Public,No,Active,1400 Grand Ave.,82.05128205128204,Grant Union High,Sacramento
1002,Anaheim High School,Anaheim,ChIJM6I4Z98p3YARwqLdftXbz2A,Anaheim High School,"811 W Lincoln Ave, Anaheim, CA 92805, USA",4.0,Anaheim High,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=30664313030228,0.94,0.4,0.11,,,,1100.0,550.0,550.0,22.0,23.0,23.0,22.0,22.0,1208,Anaheim Union High,Anaheim,3.64,30664313030228,Orange,High Schools (Public),Public,No,Active,811 West Lincoln Ave.,77.41935483870968,Anaheim High,Anaheim
1003,Kerman High School,Kerman,ChIJA9Ad17NwlIARG1g1yBR3dFA,Kerman High School,"205 S 1st St, Kerman, CA 93630, USA",3.4,Kerman High,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=10739991033430,0.94,0.5,0.16,0.43,0.09,6.0,1090.0,530.0,560.0,21.0,21.0,22.0,21.0,22.0,1209,Kerman Unified,Kerman,3.85,10739991033430,Fresno,High Schools (Public),Public,No,Active,205 South First St.,75.86206896551724,Kerman High,Kerman
1004,Patriot High School,Jurupa valley,ChIJbUukZQi13IARIxE8DoZ786A,Patriot High School,"4355 Camino Real, Jurupa Valley, CA 92509, USA",4.0,Patriot High,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=33670900114157,0.92,0.44,0.13,0.39,0.23,24.0,1080.0,540.0,540.0,22.0,22.0,22.0,21.0,22.0,1212,Jurupa Unified,Jurupa Valley,3.61,33670900114157,Riverside,High Schools (Public),Public,No,Active,4355 Camino Real,77.41935483870968,Patriot High,Jurupa Valley
1005,Marysville High School,Marysville,ChIJJXKMHnlTm4ARet3-aBjpf_0,Marysville High School,"12 18th St, Marysville, CA 95901, USA",3.7,Marysville High,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=58727365835202,0.91,0.38,0.14,0.36,0.08,6.0,1150.0,570.0,570.0,24.0,24.0,25.0,23.0,23.0,1213,Marysville Joint Unified,Marysville,3.59,58727365835202,Yuba,High Schools (Public),Public,No,Active,12 East 18th St.,81.08108108108108,Marysville High,Marysville
1006,Loara High School,Anaheim,ChIJqcD5lDQo3YARcnp1bUESxUo,Loara High School,"1765 W Cerritos Ave, Anaheim, CA 92804, USA",2.9,Loara High,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=30664313033784,0.89,0.35,0.15,,,,1080.0,540.0,540.0,21.0,21.0,22.0,21.0,21.0,1215,Anaheim Union High,Anaheim,3.37,30664313033784,Orange,High Schools (Public),Public,No,Active,1765 West Cerritos Ave.,74.07407407407408,Loara High,Anaheim
1007,Animo Ralph Bunche Charter High School,Los angeles,ChIJ-a-6jI7IwoARyN735aDZdkg,Ánimo Ralph Bunche High School,"1655 E 27th St, Los Angeles, CA 90011, USA",3.9,Animo Ralph Bunche Charter High,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=19647330111575,0.92,0.37,0.12,,,,990.0,490.0,500.0,18.0,18.0,18.0,17.0,19.0,1216,Los Angeles Unified,Los Angeles,3.87,19647330111575,Los Angeles,High Schools (Public),Public,Yes,Active,1655 East 27th St.,89.85507246376811,Animo Ralph Bunche Charter High,Los Angeles
1008,King City High School,King city,ChIJI5XYxyXxkoAR380My7AJ9Jg,King City High School,"720 Broadway St, King City, CA 93930, USA",2.1,King City High,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=27660682732170,0.92,0.62,0.15,0.58,0.17,10.0,1170.0,570.0,600.0,24.0,22.0,24.0,22.0,26.0,1218,South Monterey County Joint Union High,King City,3.29,27660682732170,Monterey,High Schools (Public),Public,No,Active,720 Broadway St.,80.0,King City High,King City
1009,North Salinas High School,Salinas,ChIJQUSZT0__jYARaW7TxIJcRlM,North Salinas High School,"55 Kip Dr, Salinas, CA 93906, USA",3.5,North Salinas High,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=27661592733178,0.92,0.49,0.14,0.65,0.18,13.0,1080.0,530.0,540.0,20.0,20.0,20.0,20.0,19.0,1221,Salinas Union High,Salinas,3.58,27661592733178,Monterey,High Schools (Public),Public,No,Active,55 Kip Dr.,83.72093023255813,North Salinas High,Salinas
1010,Making Waves Academy,Richmond,ChIJA58WOrV3hYARA7kBx5OfMss,Making Waves Academy,"4123 Lakeside Dr, Richmond, CA 94806, USA",3.4,Making Waves Academy,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=07100740114470,0.91,0.39,0.15,,,,1040.0,520.0,520.0,16.0,16.0,18.0,15.0,16.0,1222,Contra Costa County Office of Education,Richmond,3.86,7100740114470,Contra Costa,K-12 Schools (Public),Public,Yes,Active,4123 Lakeside Dr.,100.0,Making Waves Academy,Richmond
1011,Sunnyside High School,Fresno,ChIJe-kYsiFflIARHOxNolfwPCA,Sunnyside High School,"1019 S Peach Ave, Fresno, CA 93727, USA",4.3,Sunnyside High,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=10621661030675,0.93,0.35,0.1,0.23,0.24,17.0,990.0,490.0,500.0,20.0,19.0,21.0,19.0,20.0,1223,Fresno Unified,Fresno,4.06,10621661030675,Fresno,High Schools (Public),Public,No,Active,1019 South Peach Ave.,80.0,Sunnyside High,Fresno
1012,James Monroe High School,North hills,ChIJxTKtEZmQwoARCaXM6gCnLDI,James Monroe High School,"9229 Haskell Ave, North Hills, CA 91343, USA",4.1,James Monroe High,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=19647331935865,0.81,0.29,0.1,0.23,0.2,11.0,1030.0,510.0,520.0,22.0,21.0,23.0,22.0,21.0,1224,Los Angeles Unified,North Hills,3.9,19647331935865,Los Angeles,High Schools (Public),Public,No,Active,9229 Haskell Ave.,82.92682926829268,James Monroe High,North Hills
1013,Tulelake High School,Tulelake,ChIJfwoag7FKyVQR_DTlMFJO46g,Tulelake High School,"850 Main St, Tulelake, CA 96134, USA",4.0,Tulelake High,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=25735934737250,0.9,0.22,0.12,,,,1050.0,510.0,540.0,20.0,19.0,21.0,20.0,21.0,1225,Tulelake Basin Joint Unified,Tulelake,3.7,25735934737250,Modoc,High Schools (Public),Public,No,Active,850 Main St.,78.78787878787878,Tulelake High,Tulelake
1014,Alliance Ouchi-O'Donovan 6-12 Complex,Los angeles,ChIJAc6pzuy3woARWRl9FtaBEWY,Alliance Ouchi-O'Donovan 6-12 Complex,"5356 5th Ave, Los Angeles, CA 90043, USA",4.2,Alliance Ouchi-O'Donovan 6-12 Complex,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=19647330111641,0.95,0.32,0.12,,,,1030.0,510.0,510.0,18.0,18.0,18.0,17.0,19.0,1226,Los Angeles Unified,Los Angeles,3.5,19647330111641,Los Angeles,K-12 Schools (Public),Public,Yes,Active,5356 South Fifth Ave.,100.0,Alliance Ouchi-O'Donovan 6-12 Complex,Los Angeles
1015,Rancho Cotate High School,Rohnert park,ChIJW303ZlpKhIARR2IfpsnEIKA,Rancho Cotate High School,"5450 Snyder Ln, Rohnert Park, CA 94928, USA",3.5,Rancho Cotate High,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=49738824935482,0.93,0.39,0.1,0.4,0.22,10.0,1110.0,550.0,560.0,22.0,22.0,22.0,23.0,22.0,1228,Cotati-Rohnert Park Unified,Rohnert Park,3.7,49738824935482,Sonoma,High Schools (Public),Public,No,Active,5450 Snyder Ln.,83.72093023255813,Rancho Cotate High,Rohnert Park
1016,Life Academy,Oakland,ChIJ7ccKqVmGj4ARHSgb9uYTnJk,Life Academy,"2101 35th Ave, Oakland, CA 94601, USA",3.4,LIFE Academy,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=01612590130575,0.9,0.41,0.21,0.39,0.25,4.0,1060.0,530.0,530.0,20.0,20.0,21.0,19.0,21.0,1229,Oakland Unified,Oakland,3.65,1612590130575,Alameda,K-12 Schools (Public),Public,No,Active,2101 35th Ave.,75.0,LIFE Academy,Oakland
1017,Trinity High School,Weaverville,ChIJSSwhzANS0lQRcz7Q01b28Do,Trinity High School,"321 Victory Ln, Weaverville, CA 96093, USA",3.8,Trinity High,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=53765135337456,0.87,0.47,0.27,0.42,0.27,11.0,1180.0,580.0,600.0,24.0,24.0,26.0,25.0,24.0,1230,Trinity Alps Unified,Weaverville,3.55,53765135337456,Trinity,High Schools (Public),Public,No,Active,321 Victory Ln.,77.41935483870968,Trinity High,Weaverville
1018,Vista High School,Vista,ChIJgRjd7pt23IAR2HDnd0kKWlw,Vista High School,"1 Panther Way, Vista, CA 92084, USA",4.0,Vista High,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=37684523738705,0.82,0.49,0.13,0.39,0.26,16.0,1110.0,560.0,560.0,20.0,20.0,22.0,20.0,20.0,1232,Vista Unified,Vista,3.73,37684523738705,San Diego,High Schools (Public),Public,No,Active,1 Panther Way,74.07407407407408,Vista High,Vista
1019,Wasco High School,Wasco,ChIJJ7NIa73-6oARdlDmKIJFqzE,Wasco High School,"1900 7th St, Wasco, CA 93280, USA",3.9,Wasco High,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=15638591536440,0.93,0.52,0.16,0.41,0.09,8.0,1050.0,530.0,520.0,22.0,22.0,22.0,21.0,22.0,1233,Wasco Union High,Wasco,4.0,15638591536440,Kern,High Schools (Public),Public,No,Active,1900 Seventh St.,74.07407407407408,Wasco High,Wasco
1020,Jurupa Hills High School,Fontana,ChIJ4y10gKxMw4ARv0DAcqLGfoc,Jurupa Hills High School,"10700 Oleander Ave, Fontana, CA 92337, USA",3.4,Jurupa Hills High,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=36677100120758,0.93,0.52,0.16,0.22,0.01,2.0,1040.0,520.0,520.0,20.0,20.0,20.0,19.0,19.0,1234,Fontana Unified,Fontana,3.99,36677100120758,San Bernardino,High Schools (Public),Public,No,Active,10700 Oleander Ave.,82.92682926829268,Jurupa Hills High,Fontana
1021,Everest Public High School,Redwood city,ChIJaURebVGij4AR_6RIHiV6ZT8,Summit Everest Public High School,"455 Fifth Ave, Redwood City, CA 94063, USA",4.7,Everest Public High,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=41690620119503,0.87,0.42,0.17,0.35,0.47,8.0,1160.0,570.0,590.0,23.0,22.0,24.0,23.0,24.0,1236,Sequoia Union High,Redwood City,3.52,41690620119503,San Mateo,High Schools (Public),Public,Yes,Active,455 Fifth Ave.,84.44444444444444,Everest Public High,Redwood City
1022,Chawanakee Academy Charter School,O'neals,ChIJO4WA_nY8lIAReyNLRujj9T4,Chawanakee Academy Charter School,"45077 Rd 200, O'Neals, CA 93645, USA",2.5,Chawanakee Academy Charter,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=20756060132936,0.9,0.37,0.17,,,,,,,,,,,,1237,Chawanakee Unified,O'Neals,3.9,20756060132936,Madera,K-12 Schools (Public),Public,Yes,Active,45077 Road 200,88.13559322033898,Chawanakee Academy Charter,O'Neals
1023,John H. Glenn High School,Norwalk,ChIJe_qVjMXSwoARNg2LYQBpf5Q,John Glenn High School,"13520 Shoemaker Ave, Norwalk, CA 90650, USA",4.6,John H. Glenn High,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=19648401933647,0.91,0.33,0.16,0.74,0.35,18.0,1060.0,530.0,530.0,21.0,20.0,21.0,20.0,20.0,1238,Norwalk-La Mirada Unified,Norwalk,3.54,19648401933647,Los Angeles,High Schools (Public),Public,No,Active,13520 Shoemaker Ave.,83.72093023255813,John H. Glenn High,Norwalk
1024,Fall River Junior/Senior High School,Mcarthur,ChIJ2f9IRygAzVQRqcE1hxFhcBI,Fall River Junior Senior High School,"44215 Walnut St, McArthur, CA 96056, USA",5.0,Fall River Junior-Senior High,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=45699894533600,0.9,0.37,0.32,0.27,0.15,3.0,1170.0,600.0,570.0,23.0,20.0,26.0,22.0,24.0,1239,Fall River Joint Unified,McArthur,3.82,45699894533600,Shasta,High Schools (Public),Public,No,Active,44215 Walnut St.,86.15384615384616,Fall River Junior-Senior High,McArthur
1025,North County Trade Tech High School,Vista,ChIJ1wR3Qbh23IAR3Ck2j5T7B6o,North County Trade Tech High School,"1132 N Melrose Dr, Vista, CA 92083, USA",5.0,North County Trade Tech High,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=37684520114264,0.9,0.25,0.1,,,,,,,,,,,,1240,Vista Unified,Vista,4.38,37684520114264,San Diego,High Schools (Public),Public,Yes,Active,"1132 N Melrose Drive, Ste. 501",88.88888888888889,North County Trade Tech High,Vista
1026,Aspire Vanguard College Preparatory Academy,Modesto,ChIJxw973WJVkIARRuoDhvtiAA0,Aspire Vanguard College Preparatory Academy,"819 Sunset Ave, Modesto, CA 95351, USA",3.3,Aspire Vanguard College Preparatory Academy,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=50711750120212,0.9,0.32,0.15,,,,1070.0,540.0,530.0,21.0,21.0,23.0,20.0,21.0,1242,Modesto City High,Modesto,3.84,50711750120212,Stanislaus,K-12 Schools (Public),Public,Yes,Active,819 Sunset Ave.,100.0,Aspire Vanguard College Preparatory Academy,Modesto
1027,Discovery Charter Preparatory School,Sylmar,ChIJHQ2AvpyRwoARAe7Bx2zWjdk,Discovery Charter Preparatory School,"13570 Eldridge Ave, Sylmar, CA 91342, USA",5.0,Discovery Charter Preparatory #2,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=19647330115253,0.87,0.37,0.08,,,,1040.0,510.0,530.0,,,,,,1243,Los Angeles Unified,Sylmar,3.33,19647330115253,Los Angeles,High Schools (Public),Public,Yes,Active,13570 Eldridge Ave.,88.23529411764706,Discovery Charter Preparatory #2,Sylmar
1028,Highland High School,Bakersfield,ChIJGUe5kqFu6oARtDtKWbbn04s,Highland High School,"2900 Royal Scots Way, Bakersfield, CA 93306, USA",4.2,Highland High,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=15635291533330,0.88,0.41,0.14,0.6,0.21,13.0,1120.0,550.0,570.0,25.0,24.0,25.0,25.0,24.0,1244,Kern High,Bakersfield,3.73,15635291533330,Kern,High Schools (Public),Public,No,Active,2900 Royal Scots Way,78.78787878787878,Highland High,Bakersfield
1029,Cloverdale High School,Cloverdale,ChIJWUXxSW3_g4ARJfmI3v-yZi0,Cloverdale High School,"509 N Cloverdale Blvd, Cloverdale, CA 95425, USA",4.0,Cloverdale High,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=49706564930855,0.87,0.47,0.08,0.56,0.22,7.0,1210.0,610.0,610.0,25.0,24.0,26.0,25.0,23.0,1245,Cloverdale Unified,Cloverdale,3.24,49706564930855,Sonoma,High Schools (Public),Public,No,Active,509 North Cloverdale Blvd.,81.08108108108108,Cloverdale High,Cloverdale
1030,Valley High School,Santa ana,ChIJSxsC9erY3IARePM-hjXBJQM,Valley High School,"1801 S Greenville St, Santa Ana, CA 92704, USA",4.3,Valley High,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=30666703036456,0.92,0.31,0.1,0.41,0.3,11.0,1010.0,510.0,500.0,20.0,21.0,20.0,20.0,19.0,1247,Santa Ana Unified,Santa Ana,3.83,30666703036456,Orange,High Schools (Public),Public,No,Active,1801 South Greenville St.,75.86206896551724,Valley High,Santa Ana
1031,Bullard High School,Fresno,ChIJea5Y_-dnlIARWF1Bh6PSjKI,Bullard High School,"5445 N Palm Ave, Fresno, CA 93704, USA",3.5,Bullard High,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=10621661030279,0.94,0.38,0.16,0.25,0.28,17.0,1110.0,550.0,560.0,26.0,24.0,27.0,26.0,26.0,1248,Fresno Unified,Fresno,3.52,10621661030279,Fresno,High Schools (Public),Public,No,Active,5445 North Palm Ave.,77.41935483870968,Bullard High,Fresno
1032,Pacheco High School,Los banos,ChIJlTgnRZB-kYARSDwOpVmqaMs,Pacheco High School,"200 Ward Rd, Los Banos, CA 93635, USA",3.8,Pacheco High,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=24657550120923,0.95,0.5,0.16,0.33,0.0,8.0,1080.0,540.0,540.0,23.0,23.0,24.0,22.0,23.0,1249,Los Banos Unified,Los Banos,3.97,24657550120923,Merced,High Schools (Public),Public,No,Active,200 North Ward Rd.,77.41935483870968,Pacheco High,Los Banos
